ID,Name,Class,Type,CD,Region,Parent,Slug,Lat,Lng,CoordSrc,Pop2021,Pop2016,Dwellings2021,LandKm2,PopSrc,DistWinnipegKM,DistBrandonKM,Score,Gate,DeferReason
MB-UNP-koko-platz,"Koko Platz",COMMUNITY,"Unincorporated Community",09,Central Plains,,koko-platz,49.95556,-98.29222,CGN,,,,,"",83,119,34.5,DEFER,"no grounded population"
MB-UNP-laurentia-beach,"Laurentia Beach",COMMUNITY,"Unincorporated Community",18,Interlake,,laurentia-beach,50.41917,-97.95861,CGN,,,,,"",83,155,34.5,DEFER,"no grounded population"
MB-UNP-leighton,"Leighton",COMMUNITY,"Unincorporated Community",05,Westman,,leighton,49.21917,-100.59944,CGN,,,,,"",261,84,34.5,DEFER,"no grounded population"
MB-UNP-loni-beach,"Loni Beach",COMMUNITY,"Community",18,Interlake,,loni-beach,50.64361,-96.98000,CGN,,,,,"",84,229,34.5,DEFER,"no grounded population"
MB-UNP-mellenville,"Mellenville",COMMUNITY,"Unincorporated Community",09,Central Plains,,mellenville,49.95028,-98.29278,CGN,,,,,"",83,119,34.5,DEFER,"no grounded population"
MB-UNP-miniota,"Miniota",COMMUNITY,"Local Urban District",15,Westman,,miniota,50.14333,-101.03306,CGN,,,,,"",280,84,34.5,DEFER,"no grounded population"
MB-UNP-mountainside,"Mountainside",COMMUNITY,"Community",05,Westman,,mountainside,49.14222,-100.28806,CGN,,,,,"",242,82,34.5,DEFER,"no grounded population"
MB-UNP-muir,"Muir",COMMUNITY,"Unincorporated Community",08,Central Plains,,muir,50.10111,-98.87472,CGN,,,,,"",126,82,34.5,DEFER,"no grounded population"
MB-UNP-pomeroy,"Pomeroy",COMMUNITY,"Unincorporated Community",03,Pembina Valley,,pomeroy,49.40167,-98.00194,CGN,,,,,"",83,149,34.5,DEFER,"no grounded population"
MB-UNP-riding-mountain,"Riding Mountain",COMMUNITY,"Community",15,Westman,,riding-mountain,50.53194,-99.46611,CGN,,,,,"",180,83,34.5,DEFER,"no grounded population"
MB-UNP-river-hills,"River Hills",COMMUNITY,"Community",01,Eastman,,river-hills,50.07611,-96.02694,CGN,,,,,"",82,282,34.5,DEFER,"no grounded population"
MB-UNP-roseau-river,"Roseau River",COMMUNITY,"Community",02,Eastman,,roseau-river,49.18417,-96.82556,CGN,,,,,"",82,237,34.5,DEFER,"no grounded population"
MB-UNP-roseau-river-reserve,"Roseau River Reserve",COMMUNITY,"Community",03,Pembina Valley,,roseau-river-reserve,49.14028,-97.24306,CGN,,,,,"",84,211,34.5,DEFER,"no grounded population"
MB-UNP-rosenfeld,"Rosenfeld",COMMUNITY,"Local Urban District",03,Pembina Valley,,rosenfeld,49.19917,-97.54889,CGN,,,,,"",83,188,34.5,DEFER,"no grounded population"
MB-UNP-seven-sisters-falls,"Seven Sisters Falls",COMMUNITY,"Community",01,Eastman,,seven-sisters-falls,50.10583,-96.01556,CGN,,,,,"",84,283,34.5,DEFER,"no grounded population"
MB-UNP-shorepointe-village,"Shorepointe Village",COMMUNITY,"Community",18,Interlake,,shorepointe-village,50.64167,-96.99778,CGN,,,,,"",84,228,34.5,DEFER,"no grounded population"
MB-UNP-st-alphonse,"St. Alphonse",COMMUNITY,"Community",04,Pembina Valley,,st-alphonse,49.43528,-99.00306,CGN,,,,,"",144,82,34.5,DEFER,"no grounded population"
MB-UNP-woodnorth,"Woodnorth",COMMUNITY,"Community",06,Westman,,woodnorth,49.73250,-101.08111,CGN,,,,,"",283,82,34.5,DEFER,"no grounded population"
MB-4615042,"Birdtail Creek 57",CSD,"Indian Reserve",15,Westman,,birdtail-creek-57,,,,452,411,129,27.88,"StatCan 98-10-0002",,,34.4,DEFER,"no verified coordinates"
MB-UNP-clematis,"Clematis",COMMUNITY,"Unincorporated Community",18,Interlake,,clematis,50.61056,-97.58444,CGN,,,,,"",86,188,34.4,DEFER,"no grounded population"
MB-UNP-dakota-tipi,"Dakota Tipi",COMMUNITY,"Community",09,Central Plains,,dakota-tipi,49.94722,-98.35000,CGN,,,,,"",87,115,34.4,DEFER,"no grounded population"
MB-UNP-elma,"Elma",COMMUNITY,"Community",01,Eastman,,elma,49.87500,-95.90806,CGN,,,,,"",88,290,34.4,DEFER,"no grounded population"
MB-UNP-fort-la-reine,"Fort la Reine",COMMUNITY,"Unincorporated Community",09,Central Plains,,fort-la-reine,49.95056,-98.32917,CGN,,,,,"",85,117,34.4,DEFER,"no grounded population"
MB-UNP-gilwell-estates,"Gilwell Estates",COMMUNITY,"Unincorporated Community",18,Interlake,,gilwell-estates,50.67194,-96.99333,CGN,,,,,"",87,229,34.4,DEFER,"no grounded population"
MB-UNP-glenora,"Glenora",COMMUNITY,"Community",04,Pembina Valley,,glenora,49.25222,-99.15444,CGN,,,,,"",162,88,34.4,DEFER,"no grounded population"
MB-UNP-holmfield,"Holmfield",COMMUNITY,"Local Urban District",05,Westman,,holmfield,49.13556,-99.48556,CGN,,,,,"",189,86,34.4,DEFER,"no grounded population"
MB-UNP-horndean,"Horndean",COMMUNITY,"Community",03,Pembina Valley,,horndean,49.19250,-97.65556,CGN,,,,,"",87,181,34.4,DEFER,"no grounded population"
MB-UNP-jordan,"Jordan",COMMUNITY,"Unincorporated Community",03,Pembina Valley,,jordan,49.37000,-98.00222,CGN,,,,,"",85,150,34.4,DEFER,"no grounded population"
